"trait_id","特性名","枠種別","説明","対象","食料補正","一般資源補正","戦略資源補正","貴重資源補正","人口成長補正","文化補正","信仰力補正","統治力補正","防衛力補正","交易補正","治安補正","発生条件","解放条件","克服条件","持続ターン","重複可否","ペナルティ有無"
"CT001","魔法都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT002","軍事都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT003","交易都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT004","信仰都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT005","産業都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT006","農業都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT007","学術都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT008","放浪都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT009","水上都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT010","地下都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT011","死者の都","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT012","神秘都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT013","城塞都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT014","空中都市","通常","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT015","古代遺跡都市","レア","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT016","龍脈都市","レア","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT017","門都市（異界接続）","レア","(仮)未設定","都市単体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT021","世界樹の苗床","遺産","(仮)未設定","国家全体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT022","星見塔","遺産","(仮)未設定","国家全体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
"CT023","鍛冶神の炉","遺産","(仮)未設定","国家全体","0","0","0","0","0","0","0","0","0","0","0","(仮)なし","(仮)なし","(仮)なし","0","可","無"
