"項目カテゴリ","項目名","影響タイプ","影響先パラメータ","備考"
"信仰","光の神","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","戦の神","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","知識の神","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","大地の神","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","混沌の神","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","聖なる大地","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","精霊信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","火山信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","海の信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","風の信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","英雄信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
"信仰","祖霊信仰","信仰補正","信仰力獲得|祝福効果|宗教外交|民心|不満度緩和|イベント分岐|都市特性解放条件","信仰と信仰対象を統合管理"
